height,age,low_ci,up_ci
2800.0,1072.5721555271857,1058.2249160337908,1084.3845579160397
2810.0,1072.486893668287,1058.1313382645667,1084.3512942909272
2820.0,1072.4038139832046,1058.0296370101303,1084.3101307028815
2830.0,1072.3251224331223,1057.9523764474436,1084.2813237064884
2840.0,1072.2488442697602,1057.8521939647305,1084.2453943696894
2850.0,1072.170097460814,1057.7441877800386,1084.2078003496779
2860.0,1072.0875863577921,1057.6341260981205,1084.170785930517
2870.0,1072.007633280034,1057.569251651898,1084.1322346806874
2880.0,1071.9289134850592,1057.5052635682957,1084.0802499838985
2890.0,1071.8508655761664,1057.423822171075,1084.0387348699387
2900.0,1071.7721050714435,1057.3172159290807,1083.9931548042457
2910.0,1071.6924189843778,1057.228117955433,1083.9390619561755
2920.0,1071.6162904384705,1057.1326093450502,1083.8975911963983
2930.0,1071.5384706615628,1057.0478200516472,1083.8605864984834
2940.0,1071.4577993321775,1056.9590940658634,1083.823247467812
2950.0,1071.3786214108686,1056.8660397142312,1083.78241863195
2960.0,1071.2988293642468,1056.7557596711645,1083.741838084331
2970.0,1071.2157473971047,1056.6509066684503,1083.7171179474208
2980.0,1071.1390170095829,1056.564374089349,1083.6684850883141
2990.0,1071.0562064656635,1056.4694505505734,1083.628095258072
3000.0,1070.9753301372527,1056.3891279988457,1083.5924048299046
3010.0,1070.8940702417567,1056.2768345450668,1083.5424478324585
3020.0,1070.813747924586,1056.2116916680643,1083.4773140336126
3030.0,1070.7333092732383,1056.1004928588816,1083.4403759003098
3040.0,1070.6488578319204,1056.0039345906193,1083.3973339171694
3050.0,1070.5698347268333,1055.9142841556293,1083.338704125882
3060.0,1070.4894154909714,1055.8170879436884,1083.2838834103406
3070.0,1070.409283198896,1055.7442622315834,1083.245624149073
3080.0,1070.3299517929593,1055.6655608938045,1083.1824054384076
3090.0,1070.2546082194208,1055.5982412602168,1083.1318300150103
3100.0,1070.173660027215,1055.536152291932,1083.0838179715854
3110.0,1070.0960368532549,1055.4515530828346,1083.0234710058603
3120.0,1070.014621953643,1055.3512614231054,1082.9722028643166
3130.0,1069.9325800234267,1055.280520987207,1082.912753022085
3140.0,1069.849881395821,1055.1709247150375,1082.8624504028433
3150.0,1069.7702051413794,1055.075755540644,1082.8095224986057
3160.0,1069.6929878990657,1054.9886320712335,1082.7587775852726
3170.0,1069.6124646370813,1054.9108691590955,1082.7168017481247
3180.0,1069.533974101501,1054.8328046385398,1082.6637770013986
3190.0,1069.4523071519561,1054.763837604599,1082.6108833879796
3200.0,1069.3738220935622,1054.6595951074203,1082.5728126430447
