tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	MT	12.0	258.0	-22.1	5.6	2	17	100.0	BRa.19a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:44:18	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.19	pmagpy-4.2.113: demag_gui	BRa.19a
This study	MT	15.6	249.7	35.2	5.5	2	14	0.0	BRa.1a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:17:52	u	Sandstone	893.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.1	pmagpy-4.2.113: demag_gui	BRa.1a
This study	HT	0.0	199.7	18.6	6.0	2	7	0.0	BRa.1a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:17:52	u	Sandstone	962.0	949.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.1	pmagpy-4.2.113: demag_gui	BRa.1a
This study	MT	15.6	258.8	-18.6	5.5	2	14	100.0	BRa.1a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:17:52	u	Sandstone	893.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.1	pmagpy-4.2.113: demag_gui	BRa.1a
This study	HT	0.0	226.3	15.9	6.0	2	7	100.0	BRa.1a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:17:52	u	Sandstone	962.0	949.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.1	pmagpy-4.2.113: demag_gui	BRa.1a
This study	HT	0.0	223.0	38.0	2.3	2	12	0.0	BRa.20a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:45:30	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.20	pmagpy-4.2.113: demag_gui	BRa.20a
This study	MT	12.4	239.1	42.7	16.8	2	17	0.0	BRa.20a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:45:30	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.20	pmagpy-4.2.113: demag_gui	BRa.20a
This study	HT	0.0	250.7	1.4	2.3	2	12	100.0	BRa.20a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:45:30	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.20	pmagpy-4.2.113: demag_gui	BRa.20a
This study	MT	12.4	260.3	-7.5	16.8	2	17	100.0	BRa.20a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:45:30	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.20	pmagpy-4.2.113: demag_gui	BRa.20a
This study	HT	0.0	238.5	40.9	1.7	2	12	0.0	BRa.21a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:48:17	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.21	pmagpy-4.2.113: demag_gui	BRa.21a
