tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
52.5	0.0	73.1	301.2	This study	-38	Sedimentary	Sediment Layer	30.94	Sandstone	SO-CMD-NORTH	BRc.31a	BRc
22.8	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	32.18	Sandstone	SO-CMD-NORTH	BRc.32a	BRc
31.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	37.29	Sandstone	SO-CMD-NORTH	BRc.33a	BRc
27.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	39.94	Sandstone	SO-CMD-NORTH	BRc.34a	BRc
31.8	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	40.56	Sandstone	SO-CMD-NORTH	BRc.35a	BRc
74.8	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	53.36	Sandstone	SO-CMD-NORTH	BRc.38a	BRc
107.8	0.0	73.1	301.2	This study	-45	Sedimentary	Sediment Layer	29.46	Sandstone	SO-CMD-NORTH	BRc.45a	BRc
24.8	0.0	73.1	301.2	This study	-46	Sedimentary	Sediment Layer	0.53	Sandstone	SO-CMD-NORTH	BRd.1a	BRd
353.8	0.0	73.1	301.2	This study	-57	Sedimentary	Sediment Layer	1.23	Sandstone	SO-CMD-NORTH	BRd.2a	BRd
344.8	0.0	73.1	301.2	This study	-30	Sedimentary	Sediment Layer	1.23	Sandstone	SO-CMD-NORTH	BRd.3a	BRd
9.8	0.0	73.1	301.2	This study	-31	Sedimentary	Sediment Layer	1.38	Sandstone	SO-CMD-NORTH	BRd.4a	BRd
55.8	0.0	73.1	301.2	This study	-35	Sedimentary	Sediment Layer	3.21	Sandstone	SO-CMD-NORTH	BRd.5a	BRd
54.1	0.0	73.1	301.2	This study	-48	Sedimentary	Sediment Layer	3.31	Sandstone	SO-CMD-NORTH	BRd.6a	BRd
20.9	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	6.09	Sandstone	SO-CMD-NORTH	BRd.7a	BRd
353.2	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	6.49	Sandstone	SO-CMD-NORTH	BRd.8a	BRd
178.7	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	6.49	Sandstone	SO-CMD-NORTH	BRd.9a	BRd
347.9	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	6.59	Sandstone	SO-CMD-NORTH	BRd.10a	BRd
343.8	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	7.49	Sandstone	SO-CMD-NORTH	BRd.11a	BRd
355.1	0.0	73.1	301.2	This study	-16	Sedimentary	Sediment Layer	7.69	Sandstone	SO-CMD-NORTH	BRd.12a	BRd
315.6	0.0	73.1	301.2	This study	-19	Sedimentary	Sediment Layer	7.79	Sandstone	SO-CMD-NORTH	BRd.13a	BRd
305.0	0.0	73.1	301.2	This study	-24	Sedimentary	Sediment Layer	8.04	Sandstone	SO-CMD-NORTH	BRd.14a	BRd
315.0	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	8.09	Sandstone	SO-CMD-NORTH	BRd.15a	BRd
3.9	0.0	73.1	301.2	This study	-36	Sedimentary	Sediment Layer	8.39	Sandstone	SO-CMD-NORTH	BRd.16a	BRd
327.8	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	8.59	Sandstone	SO-CMD-NORTH	BRd.17a	BRd
23.8	0.0	73.1	301.2	This study	-32	Sedimentary	Sediment Layer	8.99	Sandstone	SO-CMD-NORTH	BRd.18a	BRd
37.8	0.0	73.1	301.2	This study	-31	Sedimentary	Sediment Layer	9.39	Sandstone	SO-CMD-NORTH	BRd.19a	BRd
351.8	0.0	73.1	301.2	This study	-50	Sedimentary	Sediment Layer	10.59	Sandstone	SO-CMD-NORTH	BRd.20a	BRd
3.8	0.0	73.1	301.2	This study	-19	Sedimentary	Sediment Layer	10.59	Sandstone	SO-CMD-NORTH	BRd.21a	BRd
307.8	0.0	73.1	301.2	This study	-24	Sedimentary	Sediment Layer	11.04	Sandstone	SO-CMD-NORTH	BRd.22a	BRd
319.8	0.0	73.1	301.2	This study	-7	Sedimentary	Sediment Layer	11.39	Sandstone	SO-CMD-NORTH	BRd.23a	BRd
33.8	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	11.76	Sandstone	SO-CMD-NORTH	BRd.24a	BRd
9.8	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	12.49	Sandstone	SO-CMD-NORTH	BRd.25a	BRd
25.8	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	12.89	Sandstone	SO-CMD-NORTH	BRd.27a	BRd
42.6	0.0	73.1	301.2	This study	-40	Sedimentary	Sediment Layer	14.63	Sandstone	SO-CMD-NORTH	BRd.29a	BRd
359.2	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	14.93	Sandstone	SO-CMD-NORTH	BRd.30a	BRd
238.9	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	16.63	Sandstone	SO-CMD-NORTH	BRd.31a	BRd
3.8	0.0	73.1	301.2	This study	-62	Sedimentary	Sediment Layer	18.63	Sandstone	SO-CMD-NORTH	BRd.32a	BRd
330.3	0.0	73.1	301.2	This study	-52	Sedimentary	Sediment Layer	19.73	Sandstone	SO-CMD-NORTH	BRd.33a	BRd
20.7	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	20.85	Sandstone	SO-CMD-NORTH	BRd.34a	BRd
11.2	0.0	73.1	301.2	This study	-27	Sedimentary	Sediment Layer	22.88	Sandstone	SO-CMD-NORTH	BRd.35a	BRd
2.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	23.32	Sandstone	SO-CMD-NORTH	BRd.36a	BRd
317.8	0.0	73.1	301.2	This study	-21	Sedimentary	Sediment Layer	25.06	Sandstone	SO-CMD-NORTH	BRd.37a	BRd
342.9	0.0	73.1	301.2	This study	-12	Sedimentary	Sediment Layer	26.73	Sandstone	SO-CMD-NORTH	BRd.38a	BRd
352.5	0.0	73.1	301.2	This study	-49	Sedimentary	Sediment Layer	27.78	Sandstone	SO-CMD-NORTH	BRd.39a	BRd
1.2	0.0	73.1	301.2	This study	-49	Sedimentary	Sediment Layer	27.93	Sandstone	SO-CMD-NORTH	BRd.40a	BRd
319.6	0.0	73.1	301.2	This study	-44	Sedimentary	Sediment Layer	30.7	Sandstone	SO-CMD-NORTH	BRd.41a	BRd
319.4	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	30.8	Sandstone	SO-CMD-NORTH	BRd.42a	BRd
8.5	0.0	73.1	301.2	This study	-24	Sedimentary	Sediment Layer	37.73	Sandstone	SO-CMD-NORTH	BRd.43a	BRd
17.7	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	37.73	Sandstone	SO-CMD-NORTH	BRd.44a	BRd
301.2	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	38.63	Sandstone	SO-CMD-NORTH	BRd.46a	BRd
288.6	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	39.13	Sandstone	SO-CMD-NORTH	BRd.47a	BRd
325.8	0.0	73.1	301.2	This study	-36	Sedimentary	Sediment Layer	40.23	Sandstone	SO-CMD-NORTH	BRd.48a	BRd
322.1	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	40.43	Sandstone	SO-CMD-NORTH	BRd.49a	BRd
283.9	0.0	73.1	301.2	This study	-39	Sedimentary	Sediment Layer	40.48	Sandstone	SO-CMD-NORTH	BRd.50a	BRd
308.0	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	41.56	Sandstone	SO-CMD-NORTH	BRd.51a	BRd
348.8	0.0	73.1	301.2	This study	-34	Sedimentary	Sediment Layer	42.6	Sandstone	SO-CMD-NORTH	BRd.52a	BRd
358.9	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	46.45	Sandstone	SO-CMD-NORTH	BRd.53a	BRd
348.4	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	48.26	Sandstone	SO-CMD-NORTH	BRd.54a	BRd
326.8	0.0	73.1	301.2	This study	-34	Sedimentary	Sediment Layer	50.19	Sandstone	SO-CMD-NORTH	BRd.55a	BRd
348.9	0.0	73.1	301.2	This study	-31	Sedimentary	Sediment Layer	55.84	Sandstone	SO-CMD-NORTH	BRd.57a	BRd
1.6	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	56.04	Sandstone	SO-CMD-NORTH	BRd.58a	BRd
315.9	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	60.15	Sandstone	SO-CMD-NORTH	BRd.59a	BRd
318.5	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	62.48	Sandstone	SO-CMD-NORTH	BRd.60a	BRd
323.4	0.0	73.1	301.2	This study	-20	Sedimentary	Sediment Layer	64.42	Sandstone	SO-CMD-NORTH	BRd.61a	BRd
294.7	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	66.4	Sandstone	SO-CMD-NORTH	BRd.62a	BRd
34.4	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	66.5	Sandstone	SO-CMD-NORTH	BRd.63a	BRd
8.6	0.0	73.1	301.2	This study	-27	Sedimentary	Sediment Layer	66.8	Sandstone	SO-CMD-NORTH	BRd.64a	BRd
343.8	0.0	73.1	301.2	This study	-16	Sedimentary	Sediment Layer	67.54	Sandstone	SO-CMD-NORTH	BRd.65a	BRd
336.0	0.0	73.1	301.2	This study	-35	Sedimentary	Sediment Layer	70.62	Sandstone	SO-CMD-NORTH	BRd.67a	BRd
314.5	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	70.62	Sandstone	SO-CMD-NORTH	BRd.68a	BRd
332.1	0.0	73.1	301.2	This study	-24	Sedimentary	Sediment Layer	74.42	Sandstone	SO-CMD-NORTH	BRd.69a	BRd
293.8	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	75.28	Sandstone	SO-CMD-NORTH	BRd.70a	BRd
27.6	0.0	76.5	320.7	This study	-4	Sedimentary	Sediment Layer	3.0	Sandstone	SO-CMD-NORTH	LRa.1	LRa
240.6	0.0	76.5	320.7	This study	-13	Sedimentary	Sediment Layer	6.85	Sandstone	SO-CMD-NORTH	LRa.2	LRa
141.6	0.0	76.5	320.7	This study	-12	Sedimentary	Sediment Layer	6.64	Sandstone	SO-CMD-NORTH	LRa.3	LRa
158.6	0.0	76.5	320.7	This study	-10	Sedimentary	Sediment Layer	8.0	Sandstone	SO-CMD-NORTH	LRa.4	LRa
179.6	0.0	76.5	320.7	This study	-23	Sedimentary	Sediment Layer	11.15	Sandstone	SO-CMD-NORTH	LRa.5	LRa
271.6	0.0	76.5	320.7	This study	-15	Sedimentary	Sediment Layer	13.31	Sandstone	SO-CMD-NORTH	LRa.6	LRa
231.6	0.0	76.5	320.7	This study	-17	Sedimentary	Sediment Layer	14.41	Sandstone	SO-CMD-NORTH	LRa.7	LRa
182.6	0.0	76.5	320.7	This study	-11	Sedimentary	Sediment Layer	14.41	Sandstone	SO-CMD-NORTH	LRa.8	LRa
138.6	0.0	76.5	320.7	This study	-10	Sedimentary	Sediment Layer	12.24	Sandstone	SO-CMD-NORTH	LRa.9	LRa
90.6	0.0	76.5	320.7	This study	-18	Sedimentary	Sediment Layer	13.35	Sandstone	SO-CMD-NORTH	LRa.10	LRa
118.6	0.0	76.5	320.7	This study	-3	Sedimentary	Sediment Layer	20.8	Sandstone	SO-CMD-NORTH	LRa.11	LRa
100.6	0.0	76.5	320.7	This study	-13	Sedimentary	Sediment Layer	23.06	Sandstone	SO-CMD-NORTH	LRa.12	LRa
